Id	Title	Url	Path	IsPaidOnly	Difficulty	Likes	Dislikes	ContentFeatures	SnippetFeatures	Model	SolvedAt	StatusMsg	SubmittedAt	
2006	Count Number of Pairs With Absolute Difference K	https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/	problems/2006-count-number-of-pairs-with-absolute-difference-k.json	false	Easy	1567	40			gpt-4-0125-preview	2024-02-14 22:35:46	Accepted		
2578	Split With Minimum Sum	https://leetcode.com/problems/split-with-minimum-sum/	problems/2578-split-with-minimum-sum.json	false	Easy	337	28			gpt-4-0125-preview	2024-02-14 22:36:02	Wrong Answer		
342	Power of Four	https://leetcode.com/problems/power-of-four/	problems/342-power-of-four.json	false	Easy	3811	387			gpt-4-0125-preview	2024-02-14 22:36:12	Accepted		
1967	Number of Strings That Appear as Substrings in Word	https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/	problems/1967-number-of-strings-that-appear-as-substrings-in-word.json	false	Easy	663	34			gpt-4-0125-preview	2024-02-14 22:36:23	Accepted		
409	Longest Palindrome	https://leetcode.com/problems/longest-palindrome/	problems/409-longest-palindrome.json	false	Easy	5226	349			gpt-4-0125-preview	2024-02-14 22:36:35	Accepted		
349	Intersection of Two Arrays	https://leetcode.com/problems/intersection-of-two-arrays/	problems/349-intersection-of-two-arrays.json	false	Easy	5498	2233			gpt-4-0125-preview	2024-02-14 22:36:39	Accepted		
268	Missing Number	https://leetcode.com/problems/missing-number/	problems/268-missing-number.json	false	Easy	11287	3272			gpt-4-0125-preview	2024-02-14 22:36:44	Accepted		
2558	Take Gifts From the Richest Pile	https://leetcode.com/problems/take-gifts-from-the-richest-pile/	problems/2558-take-gifts-from-the-richest-pile.json	false	Easy	355	32			gpt-4-0125-preview	2024-02-14 22:36:56	Accepted		
495	Teemo Attacking	https://leetcode.com/problems/teemo-attacking/	problems/495-teemo-attacking.json	false	Easy	1095	114			gpt-4-0125-preview	2024-02-14 22:37:08	Accepted		
1295	Find Numbers with Even Number of Digits	https://leetcode.com/problems/find-numbers-with-even-number-of-digits/	problems/1295-find-numbers-with-even-number-of-digits.json	false	Easy	2292	121			gpt-4-0125-preview	2024-02-14 22:37:14	Accepted		
1422	Maximum Score After Splitting a String	https://leetcode.com/problems/maximum-score-after-splitting-a-string/	problems/1422-maximum-score-after-splitting-a-string.json	false	Easy	1499	61			gpt-4-0125-preview	2024-02-14 22:37:27	Accepted		
1646	Get Maximum in Generated Array	https://leetcode.com/problems/get-maximum-in-generated-array/	problems/1646-get-maximum-in-generated-array.json	false	Easy	748	933			gpt-4-0125-preview	2024-02-14 22:37:34	Accepted		
2399	Check Distances Between Same Letters	https://leetcode.com/problems/check-distances-between-same-letters/	problems/2399-check-distances-between-same-letters.json	false	Easy	459	52			gpt-4-0125-preview	2024-02-14 22:37:51	Accepted		
1688	Count of Matches in Tournament	https://leetcode.com/problems/count-of-matches-in-tournament/	problems/1688-count-of-matches-in-tournament.json	false	Easy	1716	237			gpt-4-0125-preview	2024-02-14 22:38:00	Accepted		
2363	Merge Similar Items	https://leetcode.com/problems/merge-similar-items/	problems/2363-merge-similar-items.json	false	Easy	524	23			gpt-4-0125-preview	2024-02-14 22:38:16	Accepted		
506	Relative Ranks	https://leetcode.com/problems/relative-ranks/	problems/506-relative-ranks.json	false	Easy	1318	71			gpt-4-0125-preview	2024-02-14 22:38:29	Accepted		
1337	The K Weakest Rows in a Matrix	https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/	problems/1337-the-k-weakest-rows-in-a-matrix.json	false	Easy	4091	228			gpt-4-0125-preview	2024-02-14 22:38:51	Accepted		
1351	Count Negative Numbers in a Sorted Matrix	https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/	problems/1351-count-negative-numbers-in-a-sorted-matrix.json	false	Easy	4855	129			gpt-4-0125-preview	2024-02-14 22:39:08	Wrong Answer		
1450	Number of Students Doing Homework at a Given Time	https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/	problems/1450-number-of-students-doing-homework-at-a-given-time.json	false	Easy	858	152			gpt-4-0125-preview	2024-02-14 22:39:16	Accepted		
2264	Largest 3-Same-Digit Number in String	https://leetcode.com/problems/largest-3-same-digit-number-in-string/	problems/2264-largest-3-same-digit-number-in-string.json	false	Easy	964	43			gpt-4-0125-preview	2024-02-14 22:39:37	Accepted		
202	Happy Number	https://leetcode.com/problems/happy-number/	problems/202-happy-number.json	false	Easy	9949	1367			gpt-4-0125-preview	2024-02-14 22:39:42	Accepted		
922	Sort Array By Parity II	https://leetcode.com/problems/sort-array-by-parity-ii/	problems/922-sort-array-by-parity-ii.json	false	Easy	2542	93			gpt-4-0125-preview	2024-02-14 22:39:56	Accepted		
1550	Three Consecutive Odds	https://leetcode.com/problems/three-consecutive-odds/	problems/1550-three-consecutive-odds.json	false	Easy	629	62			gpt-4-0125-preview	2024-02-14 22:40:05	Accepted		
