.Filename	.Question.Url	.Question.Data.Question.questionFrontendId	.Question.Data.Question.Difficulty	.Question.TotalAccepted	.Question.AcRate	.Submissions["claude-3-7-sonnet-20250219"].CheckResponse.status_msg	.Submissions["claude-3-7-sonnet-20250219@{\"max_tokens\":16384,\"thinking\":{\"budget_tokens\":8192,\"type\":\"enabled\"}}"].CheckResponse.status_msg	.Submissions["deepseek-chat"].CheckResponse.status_msg	.Submissions["deepseek-reasoner"].CheckResponse.status_msg	.Submissions["gemini-2.0-flash-001"].CheckResponse.status_msg	.Submissions["gemini-2.0-pro-exp-02-05"].CheckResponse.status_msg	.Submissions["gemini-2.5-pro-exp-03-25"].CheckResponse.status_msg	.Submissions["grok-2-1212"].CheckResponse.status_msg	.Submissions["o1-2024-12-17"].CheckResponse.status_msg	.Submissions["o3-mini-2025-01-31"].CheckResponse.status_msg
find-indices-of-stable-mountains.json	https://leetcode.com/problems/find-indices-of-stable-mountains/	3285	Easy	49323	87.1	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
find-the-k-th-character-in-string-game-i.json	https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/	3304	Easy	49786	72.9	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
construct-the-minimum-bitwise-array-i.json	https://leetcode.com/problems/construct-the-minimum-bitwise-array-i/	3314	Easy	26685	75.4	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
minimum-element-after-replacement-with-digit-sum.json	https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum/	3300	Easy	50529	84.2	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
find-x-sum-of-all-k-long-subarrays-i.json	https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-i/	3318	Easy	29645	64.0	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
adjacent-increasing-subarrays-detection-i.json	https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/	3349	Easy	33715	39.9	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
make-array-elements-equal-to-zero.json	https://leetcode.com/problems/make-array-elements-equal-to-zero/	3354	Easy	25433	56.7	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Wrong Answer	Accepted	Accepted	
find-the-original-typed-string-i.json	https://leetcode.com/problems/find-the-original-typed-string-i/	3330	Easy	29892	57.2	Wrong Answer	Accepted	Accepted	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
minimum-operations-to-make-array-values-equal-to-k.json	https://leetcode.com/problems/minimum-operations-to-make-array-values-equal-to-k/	3375	Easy	20806	52.7	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Accepted	Accepted	Wrong Answer	Accepted	Accepted	
stone-removal-game.json	https://leetcode.com/problems/stone-removal-game/	3360	Easy	25238	41.7	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
smallest-divisible-digit-product-i.json	https://leetcode.com/problems/smallest-divisible-digit-product-i/	3345	Easy	30719	65.2	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
