Id	Title	Url	Path	IsPaidOnly	Difficulty	Likes	Dislikes	ContentFeatures	SnippetFeatures	gpt-4-0125-preview Solved At	gpt-4-0125-preview Submitted At	gpt-4-0125-preview Result	gemini-1.0-pro Solved At	gemini-1.0-pro Submitted At	gemini-1.0-pro Result	claude-3-opus-20240229 Solved At	claude-3-opus-20240229 Submitted At	claude-3-opus-20240229 Result	
2914	Minimum Number of Changes to Make Binary String Beautiful	https://leetcode.com/problems/minimum-number-of-changes-to-make-binary-string-beautiful/	problems/minimum-number-of-changes-to-make-binary-string-beautiful.json	false	Medium	129	11			2024-03-17 10:50:03		Accepted	2024-03-17 09:51:07		Wrong Answer	2024-03-17 12:34:56		Wrong Answer	
2957	Remove Adjacent Almost-Equal Characters	https://leetcode.com/problems/remove-adjacent-almost-equal-characters/	problems/remove-adjacent-almost-equal-characters.json	false	Medium	145	19			2024-03-17 10:38:44		Accepted	2024-03-17 09:46:33		Wrong Answer	2024-03-17 12:16:14		Accepted	
2939	Maximum Xor Product	https://leetcode.com/problems/maximum-xor-product/	problems/maximum-xor-product.json	false	Medium	171	64			2024-03-17 10:43:15		Wrong Answer	2024-03-17 09:48:56		Wrong Answer	2024-03-17 12:23:33		Wrong Answer	
3040	Maximum Number of Operations With the Same Score II	https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/	problems/maximum-number-of-operations-with-the-same-score-ii.json	false	Medium	116	10			2024-03-17 10:19:04		Wrong Answer	2024-03-17 09:39:54		Wrong Answer	2024-03-17 11:44:23		Wrong Answer	
3002	Maximum Size of a Set After Removals	https://leetcode.com/problems/maximum-size-of-a-set-after-removals/	problems/maximum-size-of-a-set-after-removals.json	false	Medium	252	22			2024-03-17 10:29:21		Wrong Answer	2024-03-17 09:42:35		Wrong Answer	2024-03-17 12:01:41		Wrong Answer	
3065	Minimum Operations to Exceed Threshold Value I	https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i/	problems/minimum-operations-to-exceed-threshold-value-i.json	false	Easy	41	2			2024-03-17 10:14:58		Accepted	2024-03-17 09:39:06		Wrong Answer	2024-03-17 11:39:10		Accepted	
2841	Maximum Sum of Almost Unique Subarray	https://leetcode.com/problems/maximum-sum-of-almost-unique-subarray/	problems/maximum-sum-of-almost-unique-subarray.json	false	Medium	253	135			2024-03-17 11:11:33		Accepted	2024-03-17 09:56:59		Wrong Answer	2024-03-17 12:59:03		Accepted	
3029	Minimum Time to Revert Word to Initial State I	https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i/	problems/minimum-time-to-revert-word-to-initial-state-i.json	false	Medium	123	28			2024-03-17 10:21:54		Wrong Answer	2024-03-17 09:40:48		Wrong Answer	2024-03-17 11:49:00		Wrong Answer	
2740	Find the Value of the Partition	https://leetcode.com/problems/find-the-value-of-the-partition/	problems/find-the-value-of-the-partition.json	false	Medium	271	17			2024-03-17 11:30:03		Accepted	2024-03-17 10:04:46		Accepted	2024-03-17 13:31:52		Accepted	
2857	Count Pairs of Points With Distance k	https://leetcode.com/problems/count-pairs-of-points-with-distance-k/	problems/count-pairs-of-points-with-distance-k.json	false	Medium	252	37			2024-03-17 11:06:59		Time Limit Exceeded	2024-03-17 09:55:36		Wrong Answer	2024-03-17 12:52:51		Time Limit Exceeded	
2828	Check if a String Is an Acronym of Words	https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/	problems/check-if-a-string-is-an-acronym-of-words.json	false	Easy	286	9			2024-03-17 11:14:28		Accepted	2024-03-17 09:57:36		Accepted	2024-03-17 13:03:53		Accepted	
2750	Ways to Split Array Into Good Subarrays	https://leetcode.com/problems/ways-to-split-array-into-good-subarrays/	problems/ways-to-split-array-into-good-subarrays.json	false	Medium	413	11			2024-03-17 11:27:23		Wrong Answer	2024-03-17 10:03:48		Wrong Answer	2024-03-17 13:27:18		Accepted	
2742	Painting the Walls	https://leetcode.com/problems/painting-the-walls/	problems/painting-the-walls.json	false	Hard	1326	78			2024-03-17 11:29:28		Wrong Answer	2024-03-17 10:04:39		Wrong Answer	2024-03-17 13:30:49		Wrong Answer	
3012	Minimize Length of Array Using Operations	https://leetcode.com/problems/minimize-length-of-array-using-operations/	problems/minimize-length-of-array-using-operations.json	false	Medium	138	37			2024-03-17 10:26:49		Wrong Answer	2024-03-17 09:41:47		Wrong Answer	2024-03-17 11:56:53		Runtime Error	
2896	Apply Operations to Make Two Strings Equal	https://leetcode.com/problems/apply-operations-to-make-two-strings-equal/	problems/apply-operations-to-make-two-strings-equal.json	false	Medium	316	65			2024-03-17 10:55:35		Wrong Answer	2024-03-17 09:53:31		Runtime Error	2024-03-17 12:42:57		Wrong Answer	
2790	Maximum Number of Groups With Increasing Length	https://leetcode.com/problems/maximum-number-of-groups-with-increasing-length/	problems/maximum-number-of-groups-with-increasing-length.json	false	Hard	390	39			2024-03-17 11:20:39		Wrong Answer	2024-03-17 10:00:22		Wrong Answer	2024-03-17 13:15:01		Wrong Answer	
3048	Earliest Second to Mark Indices I	https://leetcode.com/problems/earliest-second-to-mark-indices-i/	problems/earliest-second-to-mark-indices-i.json	false	Medium	137	65			2024-03-17 10:15:51		Wrong Answer	2024-03-17 09:39:16		Wrong Answer	2024-03-17 11:40:14		Wrong Answer	
2810	Faulty Keyboard	https://leetcode.com/problems/faulty-keyboard/	problems/faulty-keyboard.json	false	Easy	397	7			2024-03-17 11:17:58		Accepted	2024-03-17 09:59:44		Accepted	2024-03-17 13:09:59		Accepted	
2956	Find Common Elements Between Two Arrays	https://leetcode.com/problems/find-common-elements-between-two-arrays/	problems/find-common-elements-between-two-arrays.json	false	Easy	128	49			2024-03-17 10:38:55		Wrong Answer	2024-03-17 09:47:07		Accepted	2024-03-17 12:16:40		Wrong Answer	
2785	Sort Vowels in a String	https://leetcode.com/problems/sort-vowels-in-a-string/	problems/sort-vowels-in-a-string.json	false	Medium	938	54			2024-03-17 11:21:48		Accepted	2024-03-17 10:00:47		Accepted	2024-03-17 13:17:23		Accepted	
2809	Minimum Time to Make Array Sum At Most x	https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x/	problems/minimum-time-to-make-array-sum-at-most-x.json	false	Hard	221	11			2024-03-17 11:18:25		Wrong Answer	2024-03-17 09:59:48		Wrong Answer	2024-03-17 13:10:34		Wrong Answer	
3028	Ant on the Boundary	https://leetcode.com/problems/ant-on-the-boundary/	problems/ant-on-the-boundary.json	false	Easy	73	24			2024-03-17 10:22:02		Accepted	2024-03-17 09:40:51		Accepted	2024-03-17 11:49:21		Accepted	
2968	Apply Operations to Maximize Frequency Score	https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/	problems/apply-operations-to-maximize-frequency-score.json	false	Hard	216	4			2024-03-17 10:35:47		Wrong Answer	2024-03-17 09:45:47		Time Limit Exceeded	2024-03-17 12:11:15		Wrong Answer	
2800	Shortest String That Contains Three Strings	https://leetcode.com/problems/shortest-string-that-contains-three-strings/	problems/shortest-string-that-contains-three-strings.json	false	Medium	308	250			2024-03-17 11:19:44		Wrong Answer	2024-03-17 10:00:07		Wrong Answer	2024-03-17 13:13:06		Wrong Answer	
2947	Count Beautiful Substrings I	https://leetcode.com/problems/count-beautiful-substrings-i/	problems/count-beautiful-substrings-i.json	false	Medium	116	10			2024-03-17 10:41:12		Accepted	2024-03-17 09:48:28		Wrong Answer	2024-03-17 12:20:19		Accepted	
2911	Minimum Changes to Make K Semi-palindromes	https://leetcode.com/problems/minimum-changes-to-make-k-semi-palindromes/	problems/minimum-changes-to-make-k-semi-palindromes.json	false	Hard	62	83			2024-03-17 10:50:47		Wrong Answer	2024-03-17 09:51:17		Runtime Error	2024-03-17 12:36:07		Wrong Answer	
2982	Find Longest Special Substring That Occurs Thrice II	https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii/	problems/find-longest-special-substring-that-occurs-thrice-ii.json	false	Medium	211	23			2024-03-17 10:31:46		Wrong Answer	2024-03-17 09:44:22		Wrong Answer	2024-03-17 12:05:47		Wrong Answer	
2873	Maximum Value of an Ordered Triplet I	https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i/	problems/maximum-value-of-an-ordered-triplet-i.json	false	Easy	151	13			2024-03-17 10:57:50		Wrong Answer	2024-03-17 09:53:56		Wrong Answer	2024-03-17 12:45:41		Accepted	
2846	Minimum Edge Weight Equilibrium Queries in a Tree	https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree/	problems/minimum-edge-weight-equilibrium-queries-in-a-tree.json	false	Hard	278	6	img		2024-03-17 11:09:35		Time Limit Exceeded	2024-03-17 09:56:38		Wrong Answer	2024-03-17 12:56:20		Wrong Answer	
2949	Count Beautiful Substrings II	https://leetcode.com/problems/count-beautiful-substrings-ii/	problems/count-beautiful-substrings-ii.json	false	Hard	161	6			2024-03-17 10:40:31		Time Limit Exceeded	2024-03-17 09:48:17		Wrong Answer	2024-03-17 12:19:12		Time Limit Exceeded	
2751	Robot Collisions	https://leetcode.com/problems/robot-collisions/	problems/robot-collisions.json	false	Hard	403	16	img		2024-03-17 11:26:41		Wrong Answer	2024-03-17 10:03:30		Wrong Answer	2024-03-17 13:26:48		Wrong Answer	
3005	Count Elements With Maximum Frequency	https://leetcode.com/problems/count-elements-with-maximum-frequency/	problems/count-elements-with-maximum-frequency.json	false	Easy	579	62			2024-03-17 10:28:26		Accepted	2024-03-17 09:42:24		Wrong Answer	2024-03-17 12:00:40		Accepted	
2919	Minimum Increment Operations to Make Array Beautiful	https://leetcode.com/problems/minimum-increment-operations-to-make-array-beautiful/	problems/minimum-increment-operations-to-make-array-beautiful.json	false	Medium	287	18			2024-03-17 10:48:35		Wrong Answer	2024-03-17 09:50:34		Wrong Answer	2024-03-17 12:32:11		Wrong Answer	
2843	  Count Symmetric Integers	https://leetcode.com/problems/count-symmetric-integers/	problems/count-symmetric-integers.json	false	Easy	236	11			2024-03-17 11:10:13		Accepted	2024-03-17 09:56:50		Wrong Answer	2024-03-17 12:57:58		Accepted	
2948	Make Lexicographically Smallest Array by Swapping Elements	https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements/	problems/make-lexicographically-smallest-array-by-swapping-elements.json	false	Medium	228	14			2024-03-17 10:40:54		Wrong Answer	2024-03-17 09:48:24		Runtime Error	2024-03-17 12:19:47		Wrong Answer	
2779	Maximum Beauty of an Array After Applying Operation	https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/	problems/maximum-beauty-of-an-array-after-applying-operation.json	false	Medium	583	12			2024-03-17 11:22:38		Wrong Answer	2024-03-17 10:01:31		Wrong Answer	2024-03-17 13:19:27		Accepted	
2801	Count Stepping Numbers in Range	https://leetcode.com/problems/count-stepping-numbers-in-range/	problems/count-stepping-numbers-in-range.json	false	Hard	320	10			2024-03-17 11:19:25		Time Limit Exceeded	2024-03-17 10:00:03		Runtime Error	2024-03-17 13:12:35		Wrong Answer	
2825	Make String a Subsequence Using Cyclic Increments	https://leetcode.com/problems/make-string-a-subsequence-using-cyclic-increments/	problems/make-string-a-subsequence-using-cyclic-increments.json	false	Medium	302	13			2024-03-17 11:15:13		Accepted	2024-03-17 09:58:15		Wrong Answer	2024-03-17 13:05:21		Wrong Answer	
2962	Count Subarrays Where Max Element Appears at Least K Times	https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times/	problems/count-subarrays-where-max-element-appears-at-least-k-times.json	false	Medium	263	13			2024-03-17 10:37:34		Accepted	2024-03-17 09:46:15		Wrong Answer	2024-03-17 12:13:53		Wrong Answer	
3038	Maximum Number of Operations With the Same Score I	https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-i/	problems/maximum-number-of-operations-with-the-same-score-i.json	false	Easy	56	14			2024-03-17 10:20:03		Wrong Answer	2024-03-17 09:40:06		Wrong Answer	2024-03-17 11:45:17		Wrong Answer	
3069	Distribute Elements Into Two Arrays I	https://leetcode.com/problems/distribute-elements-into-two-arrays-i/	problems/distribute-elements-into-two-arrays-i.json	false	Easy	51	11			2024-03-17 10:13:42		Accepted	2024-03-17 09:38:49		Runtime Error	2024-03-17 11:37:05		Accepted	
2996	Smallest Missing Integer Greater Than Sequential Prefix Sum	https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum/	problems/smallest-missing-integer-greater-than-sequential-prefix-sum.json	false	Easy	87	194			2024-03-17 10:31:01		Wrong Answer	2024-03-17 09:44:14		Wrong Answer	2024-03-17 12:04:43		Wrong Answer	
3020	Find the Maximum Number of Elements in Subset	https://leetcode.com/problems/find-the-maximum-number-of-elements-in-subset/	problems/find-the-maximum-number-of-elements-in-subset.json	false	Medium	153	32			2024-03-17 10:24:27		Wrong Answer	2024-03-17 09:41:18		Wrong Answer	2024-03-17 11:53:06		Wrong Answer	
2855	Minimum Right Shifts to Sort the Array	https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array/	problems/minimum-right-shifts-to-sort-the-array.json	false	Easy	195	8			2024-03-17 11:07:38		Wrong Answer	2024-03-17 09:56:11		Wrong Answer	2024-03-17 12:53:41		Wrong Answer	
2817	Minimum Absolute Difference Between Elements With Constraint	https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint/	problems/minimum-absolute-difference-between-elements-with-constraint.json	false	Medium	647	66			2024-03-17 11:16:01		Runtime Error	2024-03-17 09:59:10		Wrong Answer	2024-03-17 13:06:48		Time Limit Exceeded	
2745	Construct the Longest New String	https://leetcode.com/problems/construct-the-longest-new-string/	problems/construct-the-longest-new-string.json	false	Medium	290	20			2024-03-17 11:28:52		Wrong Answer	2024-03-17 10:04:31		Wrong Answer	2024-03-17 13:30:02		Wrong Answer	
2861	Maximum Number of Alloys	https://leetcode.com/problems/maximum-number-of-alloys/	problems/maximum-number-of-alloys.json	false	Medium	248	41			2024-03-17 11:05:43		Wrong Answer	2024-03-17 09:54:38		Wrong Answer	2024-03-17 12:50:42		Wrong Answer	
2981	Find Longest Special Substring That Occurs Thrice I	https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i/	problems/find-longest-special-substring-that-occurs-thrice-i.json	false	Medium	134	9			2024-03-17 10:32:02		Wrong Answer	2024-03-17 09:44:26		Wrong Answer	2024-03-17 12:06:15		Wrong Answer	
3049	Earliest Second to Mark Indices II	https://leetcode.com/problems/earliest-second-to-mark-indices-ii/	problems/earliest-second-to-mark-indices-ii.json	false	Hard	68	17			2024-03-17 10:15:27		Wrong Answer	2024-03-17 09:39:12		Runtime Error	2024-03-17 11:39:37		Wrong Answer	
2997	Minimum Number of Operations to Make Array XOR Equal to K	https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k/	problems/minimum-number-of-operations-to-make-array-xor-equal-to-k.json	false	Medium	86	6			2024-03-17 10:30:53		Accepted	2024-03-17 09:44:08		Wrong Answer	2024-03-17 12:04:15		Wrong Answer	
2946	Matrix Similarity After Cyclic Shifts	https://leetcode.com/problems/matrix-similarity-after-cyclic-shifts/	problems/matrix-similarity-after-cyclic-shifts.json	false	Easy	91	52	img		2024-03-17 10:41:25		Accepted	2024-03-17 09:48:32		Wrong Answer	2024-03-17 12:20:47		Accepted	
3077	Maximum Strength of K Disjoint Subarrays	https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/	problems/maximum-strength-of-k-disjoint-subarrays.json	false	Hard	92	61			2024-03-17 10:11:57		Wrong Answer	2024-03-17 09:38:19		Wrong Answer	2024-03-17 11:33:29		Wrong Answer	
2747	Count Zero Request Servers	https://leetcode.com/problems/count-zero-request-servers/	problems/count-zero-request-servers.json	false	Medium	314	32			2024-03-17 11:28:11		Wrong Answer	2024-03-17 10:04:21		Runtime Error	2024-03-17 13:28:45		Wrong Answer	
3045	Count Prefix and Suffix Pairs II	https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/	problems/count-prefix-and-suffix-pairs-ii.json	false	Hard	121	7			2024-03-17 10:16:46		Wrong Answer	2024-03-17 09:39:28		Wrong Answer	2024-03-17 11:41:41		Time Limit Exceeded	
2909	Minimum Sum of Mountain Triplets II	https://leetcode.com/problems/minimum-sum-of-mountain-triplets-ii/	problems/minimum-sum-of-mountain-triplets-ii.json	false	Medium	177	4			2024-03-17 10:52:00		Accepted	2024-03-17 09:51:23		Wrong Answer	2024-03-17 12:37:13		Time Limit Exceeded	
2772	Apply Operations to Make All Array Elements Equal to Zero	https://leetcode.com/problems/apply-operations-to-make-all-array-elements-equal-to-zero/	problems/apply-operations-to-make-all-array-elements-equal-to-zero.json	false	Medium	351	22			2024-03-17 11:23:08		Runtime Error	2024-03-17 10:01:50		Wrong Answer	2024-03-17 13:20:15		Wrong Answer	
2908	Minimum Sum of Mountain Triplets I	https://leetcode.com/problems/minimum-sum-of-mountain-triplets-i/	problems/minimum-sum-of-mountain-triplets-i.json	false	Easy	140	7			2024-03-17 10:52:24		Wrong Answer	2024-03-17 09:51:26		Wrong Answer	2024-03-17 12:37:44		Accepted	
2977	Minimum Cost to Convert String II	https://leetcode.com/problems/minimum-cost-to-convert-string-ii/	problems/minimum-cost-to-convert-string-ii.json	false	Hard	76	67			2024-03-17 10:33:06		Wrong Answer	2024-03-17 09:44:33		Wrong Answer	2024-03-17 12:07:17		Wrong Answer	
2933	High-Access Employees	https://leetcode.com/problems/high-access-employees/	problems/high-access-employees.json	false	Medium	184	18			2024-03-17 10:44:53		Accepted	2024-03-17 09:49:17		Wrong Answer	2024-03-17 12:26:19		Wrong Answer	
2998	Minimum Number of Operations to Make X and Y Equal	https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal/	problems/minimum-number-of-operations-to-make-x-and-y-equal.json	false	Medium	192	19			2024-03-17 10:30:30		Accepted	2024-03-17 09:43:59		Wrong Answer	2024-03-17 12:03:40		Wrong Answer	
3039	Apply Operations to Make String Empty	https://leetcode.com/problems/apply-operations-to-make-string-empty/	problems/apply-operations-to-make-string-empty.json	false	Medium	105	5			2024-03-17 10:19:32		Wrong Answer	2024-03-17 09:40:00		Wrong Answer	2024-03-17 11:44:50		Wrong Answer	
2760	Longest Even Odd Subarray With Threshold	https://leetcode.com/problems/longest-even-odd-subarray-with-threshold/	problems/longest-even-odd-subarray-with-threshold.json	false	Easy	277	260			2024-03-17 11:26:17		Wrong Answer	2024-03-17 10:03:11		Runtime Error	2024-03-17 13:26:05		Accepted	
3000	Maximum Area of Longest Diagonal Rectangle	https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle/	problems/maximum-area-of-longest-diagonal-rectangle.json	false	Easy	88	13			2024-03-17 10:29:56		Accepted	2024-03-17 09:43:23		Accepted	2024-03-17 12:02:38		Accepted	
2834	Find the Minimum Possible Sum of a Beautiful Array	https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array/	problems/find-the-minimum-possible-sum-of-a-beautiful-array.json	false	Medium	284	46			2024-03-17 11:13:04		Wrong Answer	2024-03-17 09:57:18		Wrong Answer	2024-03-17 13:01:37		Wrong Answer	
2897	Apply Operations on Array to Maximize Sum of Squares	https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares/	problems/apply-operations-on-array-to-maximize-sum-of-squares.json	false	Hard	173	4			2024-03-17 10:55:09		Wrong Answer	2024-03-17 09:53:21		Wrong Answer	2024-03-17 12:42:23		Wrong Answer	
2967	Minimum Cost to Make Array Equalindromic	https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/	problems/minimum-cost-to-make-array-equalindromic.json	false	Medium	203	84			2024-03-17 10:36:24		Wrong Answer	2024-03-17 09:45:58		Runtime Error	2024-03-17 12:11:45		Time Limit Exceeded	
3007	Maximum Number That Sum of the Prices Is Less Than or Equal to K	https://leetcode.com/problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k/	problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k.json	false	Medium	170	95			2024-03-17 10:27:59		Wrong Answer	2024-03-17 09:42:13		Wrong Answer	2024-03-17 11:59:42		Time Limit Exceeded	
2831	Find the Longest Equal Subarray	https://leetcode.com/problems/find-the-longest-equal-subarray/	problems/find-the-longest-equal-subarray.json	false	Medium	626	16			2024-03-17 11:13:30		Wrong Answer	2024-03-17 09:57:25		Wrong Answer	2024-03-17 13:02:32		Wrong Answer	
2767	Partition String Into Minimum Beautiful Substrings	https://leetcode.com/problems/partition-string-into-minimum-beautiful-substrings/	problems/partition-string-into-minimum-beautiful-substrings.json	false	Medium	326	12			2024-03-17 11:24:42		Accepted	2024-03-17 10:02:18		Wrong Answer	2024-03-17 13:23:03		Wrong Answer	
2812	Find the Safest Path in a Grid	https://leetcode.com/problems/find-the-safest-path-in-a-grid/	problems/find-the-safest-path-in-a-grid.json	false	Medium	761	90	img		2024-03-17 11:17:32		Wrong Answer	2024-03-17 09:59:35		Wrong Answer	2024-03-17 13:09:04		Wrong Answer	
3024	Type of Triangle	https://leetcode.com/problems/type-of-triangle/	problems/type-of-triangle.json	false	Easy	66	9			2024-03-17 10:23:24		Accepted	2024-03-17 09:41:07		Accepted	2024-03-17 11:51:11		Accepted	
2744	Find Maximum Number of String Pairs	https://leetcode.com/problems/find-maximum-number-of-string-pairs/	problems/find-maximum-number-of-string-pairs.json	false	Easy	319	12			2024-03-17 11:29:12		Accepted	2024-03-17 10:04:35		Wrong Answer	2024-03-17 13:30:25		Accepted	
2865	Beautiful Towers I	https://leetcode.com/problems/beautiful-towers-i/	problems/beautiful-towers-i.json	false	Medium	182	34			2024-03-17 11:00:16		Wrong Answer	2024-03-17 09:54:26		Wrong Answer	2024-03-17 12:49:18		Wrong Answer	
2942	Find Words Containing Character	https://leetcode.com/problems/find-words-containing-character/	problems/find-words-containing-character.json	false	Easy	235	18			2024-03-17 10:42:43		Accepted	2024-03-17 09:48:47		Accepted	2024-03-17 12:22:33		Accepted	
2924	Find Champion II	https://leetcode.com/problems/find-champion-ii/	problems/find-champion-ii.json	false	Medium	123	8	img		2024-03-17 10:47:21		Accepted	2024-03-17 09:50:05		Wrong Answer	2024-03-17 12:30:44		Wrong Answer	
2972	Count the Number of Incremovable Subarrays II	https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/	problems/count-the-number-of-incremovable-subarrays-ii.json	false	Hard	177	18			2024-03-17 10:34:45		Time Limit Exceeded	2024-03-17 09:45:18		Wrong Answer	2024-03-17 12:09:55		Wrong Answer	
2943	Maximize Area of Square Hole in Grid	https://leetcode.com/problems/maximize-area-of-square-hole-in-grid/	problems/maximize-area-of-square-hole-in-grid.json	false	Medium	104	129	img		2024-03-17 10:42:37		Wrong Answer	2024-03-17 09:48:43		Wrong Answer	2024-03-17 12:22:15		Wrong Answer	
2917	Find the K-or of an Array	https://leetcode.com/problems/find-the-k-or-of-an-array/	problems/find-the-k-or-of-an-array.json	false	Easy	89	252			2024-03-17 10:49:16		Accepted	2024-03-17 09:50:53		Accepted	2024-03-17 12:33:17		Accepted	
3079	Find the Sum of Encrypted Integers	https://leetcode.com/problems/find-the-sum-of-encrypted-integers/	problems/find-the-sum-of-encrypted-integers.json	false	Easy	19	3			2024-03-17 09:36:41		Accepted	2024-03-17 09:38:08		Wrong Answer	2024-03-17 09:34:44		Accepted	
2951	Find the Peaks	https://leetcode.com/problems/find-the-peaks/	problems/find-the-peaks.json	false	Easy	129	13			2024-03-17 10:40:07		Accepted	2024-03-17 09:48:11		Accepted	2024-03-17 12:18:39		Accepted	
2771	Longest Non-decreasing Subarray From Two Arrays	https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays/	problems/longest-non-decreasing-subarray-from-two-arrays.json	false	Medium	556	15			2024-03-17 11:23:35		Accepted	2024-03-17 10:02:00		Wrong Answer	2024-03-17 13:20:49		Wrong Answer	
2966	Divide Array Into Arrays With Max Difference	https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/	problems/divide-array-into-arrays-with-max-difference.json	false	Medium	750	183			2024-03-17 10:36:40		Accepted	2024-03-17 09:46:04		Accepted	2024-03-17 12:12:18		Accepted	
2918	Minimum Equal Sum of Two Arrays After Replacing Zeros	https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros/	problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros.json	false	Medium	156	19			2024-03-17 10:49:06		Wrong Answer	2024-03-17 09:50:43		Wrong Answer	2024-03-17 12:32:46		Wrong Answer	
2851	String Transformation	https://leetcode.com/problems/string-transformation/	problems/string-transformation.json	false	Hard	157	27			2024-03-17 11:08:09		Wrong Answer	2024-03-17 09:56:22		Wrong Answer	2024-03-17 12:54:17		Wrong Answer	
2894	Divisible and Non-divisible Sums Difference	https://leetcode.com/problems/divisible-and-non-divisible-sums-difference/	problems/divisible-and-non-divisible-sums-difference.json	false	Easy	176	13			2024-03-17 10:56:11		Accepted	2024-03-17 09:53:40		Wrong Answer	2024-03-17 12:43:55		Accepted	
3043	Find the Length of the Longest Common Prefix	https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/	problems/find-the-length-of-the-longest-common-prefix.json	false	Medium	127	9			2024-03-17 10:18:20		Time Limit Exceeded	2024-03-17 09:39:37		Wrong Answer	2024-03-17 11:42:54		Time Limit Exceeded	
3013	Divide an Array Into Subarrays With Minimum Cost II	https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii/	problems/divide-an-array-into-subarrays-with-minimum-cost-ii.json	false	Hard	89	9			2024-03-17 10:26:35		Wrong Answer	2024-03-17 09:41:43		Wrong Answer	2024-03-17 11:56:28		Wrong Answer	
3034	Number of Subarrays That Match a Pattern I	https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i/	problems/number-of-subarrays-that-match-a-pattern-i.json	false	Medium	73	6			2024-03-17 10:20:33		Accepted	2024-03-17 09:40:24		Accepted	2024-03-17 11:47:08		Accepted	
3081	Replace Question Marks in String to Minimize Its Value	https://leetcode.com/problems/replace-question-marks-in-string-to-minimize-its-value/	problems/replace-question-marks-in-string-to-minimize-its-value.json	false	Medium	44	14			2024-03-17 09:36:11		Wrong Answer	2024-03-17 09:38:00		Wrong Answer	2024-03-17 09:33:46		Wrong Answer	
2935	Maximum Strong Pair XOR II	https://leetcode.com/problems/maximum-strong-pair-xor-ii/	problems/maximum-strong-pair-xor-ii.json	false	Hard	153	1			2024-03-17 10:44:09		Time Limit Exceeded	2024-03-17 09:49:08		Wrong Answer	2024-03-17 12:25:10		Time Limit Exceeded	
2930	Number of Strings Which Can Be Rearranged to Contain Substring	https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring/	problems/number-of-strings-which-can-be-rearranged-to-contain-substring.json	false	Medium	149	63			2024-03-17 10:45:57		Wrong Answer	2024-03-17 09:49:29		Wrong Answer	2024-03-17 12:27:48		Wrong Answer	
