Id	Title	Url	Path	IsPaidOnly	Difficulty	Likes	Dislikes	ContentFeatures	SnippetFeatures	acRate	gpt-4-0125-preview Solved At	gpt-4-0125-preview Submitted At	gpt-4-0125-preview Result	gemini-1.0-pro Solved At	gemini-1.0-pro Submitted At	gemini-1.0-pro Result	gemini-1.5-pro-preview-0409 Solved At	gemini-1.5-pro-preview-0409 Submitted At	gemini-1.5-pro-preview-0409 Result	claude-3-opus-20240229 Solved At	claude-3-opus-20240229 Submitted At	claude-3-opus-20240229 Result	
15	3Sum	https://leetcode.com/problems/3sum/	problems/3sum.json	false	Medium	30047	2754			34.3	2024-03-13 01:00:19		Accepted	2024-03-13 10:39:11		Accepted	2024-04-13 12:35:29	2024-05-18 08:21:27	Accepted	2024-03-16 17:07:29		Accepted	
67	Add Binary	https://leetcode.com/problems/add-binary/	problems/add-binary.json	false	Easy	9199	938			53.3	2024-03-13 01:00:39		Accepted	2024-03-13 10:39:14		Accepted	2024-05-12 10:06:07	2024-05-18 08:21:34	Accepted	2024-03-16 17:08:01		Accepted	
2	Add Two Numbers	https://leetcode.com/problems/add-two-numbers/	problems/add-two-numbers.json	false	Medium	30129	5921	img		42.4	2024-03-13 01:01:09		Accepted	2024-03-13 10:39:17		Accepted	2024-05-12 10:06:15	2024-05-18 08:22:02	Accepted	2024-03-16 17:08:38		Accepted	
735	Asteroid Collision	https://leetcode.com/problems/asteroid-collision/	problems/asteroid-collision.json	false	Medium	7627	973			44.6	2024-03-13 01:01:26		Accepted	2024-03-13 10:36:09		Accepted	2024-04-12 09:41:51	2024-05-18 08:22:10	Accepted	2024-03-16 17:09:08		Accepted	
637	Average of Levels in Binary Tree	https://leetcode.com/problems/average-of-levels-in-binary-tree/	problems/average-of-levels-in-binary-tree.json	false	Easy	5177	319	img		72.3	2024-03-13 01:01:42		Accepted	2024-03-13 10:36:12		Accepted	2024-04-12 09:42:00	2024-05-18 08:22:16	Accepted	2024-03-16 17:09:43		Accepted	
224	Basic Calculator	https://leetcode.com/problems/basic-calculator/	problems/basic-calculator.json	false	Hard	6157	471			43.2	2024-03-13 01:02:09		Accepted	2024-03-13 10:36:15		Wrong Answer	2024-04-12 09:42:09	2024-05-18 08:22:51	Wrong Answer	2024-03-16 17:10:16		Accepted	
121	Best Time to Buy and Sell Stock	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	problems/best-time-to-buy-and-sell-stock.json	false	Easy	30073	1083			53.5	2024-03-13 01:02:27		Accepted	2024-03-13 10:24:21		Wrong Answer	2024-04-12 09:42:15	2024-05-18 08:22:58	Accepted	2024-03-16 17:10:40		Accepted	
122	Best Time to Buy and Sell Stock II	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/	problems/best-time-to-buy-and-sell-stock-ii.json	false	Medium	13187	2672			66.1	2024-03-13 01:02:42		Accepted	2024-03-13 10:24:25		Wrong Answer	2024-04-12 09:42:21	2024-05-18 08:23:05	Accepted	2024-03-16 17:10:59		Accepted	
123	Best Time to Buy and Sell Stock III	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/	problems/best-time-to-buy-and-sell-stock-iii.json	false	Hard	9460	179			47.6	2024-03-13 01:02:57		Accepted	2024-03-13 10:24:30		Wrong Answer	2024-04-12 09:42:27	2024-05-18 08:23:13	Accepted	2024-03-16 17:11:37		Wrong Answer	
188	Best Time to Buy and Sell Stock IV	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/	problems/best-time-to-buy-and-sell-stock-iv.json	false	Hard	7292	206			42.3	2024-03-13 01:03:24		Accepted	2024-03-13 10:25:13		Accepted	2024-04-12 09:42:42	2024-05-18 08:25:08	Wrong Answer	2024-03-16 17:12:08		Accepted	
714	Best Time to Buy and Sell Stock with Transaction Fee	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/	problems/best-time-to-buy-and-sell-stock-with-transaction-fee.json	false	Medium	6998	202			68.4	2024-03-13 01:03:51		Accepted	2024-03-13 10:25:15		Accepted	2024-04-12 09:42:50	2024-05-18 08:25:15	Accepted	2024-03-16 17:12:38		Accepted	
173	Binary Search Tree Iterator	https://leetcode.com/problems/binary-search-tree-iterator/	problems/binary-search-tree-iterator.json	false	Medium	8372	489	a,img	multi	71.7	2024-03-13 01:04:09		Accepted	2024-03-13 10:25:19		Accepted	2024-04-12 09:43:00	2024-05-18 08:25:22	Accepted	2024-03-16 17:13:11		Accepted	
94	Binary Tree Inorder Traversal	https://leetcode.com/problems/binary-tree-inorder-traversal/	problems/binary-tree-inorder-traversal.json	false	Easy	13184	748	img		75.9	2024-03-13 01:04:26		Accepted	2024-03-13 10:25:21		Accepted	2024-04-12 09:43:09	2024-05-18 08:25:29	Accepted	2024-03-16 17:13:38		Accepted	
102	Binary Tree Level Order Traversal	https://leetcode.com/problems/binary-tree-level-order-traversal/	problems/binary-tree-level-order-traversal.json	false	Medium	14968	301	img		66.8	2024-03-13 01:04:45		Accepted	2024-03-13 10:25:25		Accepted	2024-04-12 09:43:18	2024-05-18 08:25:36	Accepted	2024-03-16 17:14:09		Accepted	
124	Binary Tree Maximum Path Sum	https://leetcode.com/problems/binary-tree-maximum-path-sum/	problems/binary-tree-maximum-path-sum.json	false	Hard	16254	715	img		39.9	2024-03-13 01:05:14		Accepted	2024-03-13 10:25:29		Accepted	2024-04-12 09:43:27	2024-05-18 08:25:43	Accepted	2024-03-16 17:14:42		Accepted	
199	Binary Tree Right Side View	https://leetcode.com/problems/binary-tree-right-side-view/	problems/binary-tree-right-side-view.json	false	Medium	11679	883	img		62.9	2024-03-13 01:05:31		Accepted	2024-03-13 10:25:32		Accepted	2024-04-12 09:43:36	2024-05-18 08:25:50	Accepted	2024-03-16 17:15:14		Accepted	
103	Binary Tree Zigzag Level Order Traversal	https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/	problems/binary-tree-zigzag-level-order-traversal.json	false	Medium	10554	282	img		58.7	2024-03-13 01:05:44		Accepted	2024-03-13 10:25:36		Accepted	2024-04-12 09:43:46	2024-05-18 08:25:58	Accepted	2024-03-16 17:18:47		Accepted	
201	Bitwise AND of Numbers Range	https://leetcode.com/problems/bitwise-and-of-numbers-range/	problems/bitwise-and-of-numbers-range.json	false	Medium	3920	296			46.8	2024-03-13 01:05:53		Accepted	2024-03-13 10:25:38		Time Limit Exceeded	2024-04-12 09:43:52	2024-05-18 08:26:05	Accepted	2024-03-16 17:19:17		Accepted	
605	Can Place Flowers	https://leetcode.com/problems/can-place-flowers/	problems/can-place-flowers.json	false	Easy	6309	1125			29.3	2024-03-13 01:06:17		Accepted	2024-03-13 10:25:42		Accepted	2024-04-12 09:43:59	2024-05-18 08:26:12	Accepted	2024-03-16 17:19:47		Accepted	
135	Candy	https://leetcode.com/problems/candy/	problems/candy.json	false	Hard	7551	620			43.2	2024-03-13 01:06:37		Accepted	2024-03-13 10:25:45		Accepted	2024-04-12 09:44:07	2024-05-18 08:26:19	Accepted	2024-03-16 17:20:12		Accepted	
70	Climbing Stairs	https://leetcode.com/problems/climbing-stairs/	problems/climbing-stairs.json	false	Easy	21400	777			52.8	2024-03-13 01:07:04		Accepted	2024-03-13 10:25:50		Accepted	2024-04-12 09:44:13	2024-05-18 08:26:26	Accepted	2024-03-16 17:20:40		Accepted	
133	Clone Graph	https://leetcode.com/problems/clone-graph/	problems/clone-graph.json	false	Medium	9249	3713	a,img		56.7	2024-03-13 01:07:26		Accepted	2024-03-13 10:25:54		Accepted	2024-04-12 09:38:43	2024-05-18 08:26:33	Runtime Error	2024-03-16 17:21:10		Accepted	
322	Coin Change	https://leetcode.com/problems/coin-change/	problems/coin-change.json	false	Medium	18494	433			43.7	2024-03-13 01:07:49		Accepted	2024-03-13 10:25:58		Accepted	2024-04-12 09:44:20	2024-05-18 08:26:40	Accepted	2024-03-16 17:21:40		Accepted	
39	Combination Sum	https://leetcode.com/problems/combination-sum/	problems/combination-sum.json	false	Medium	18343	392			71.1	2024-03-13 01:08:11		Accepted	2024-03-13 10:26:02		Wrong Answer	2024-04-12 09:44:27	2024-05-18 08:26:47	Accepted	2024-03-16 17:22:14		Accepted	
216	Combination Sum III	https://leetcode.com/problems/combination-sum-iii/	problems/combination-sum-iii.json	false	Medium	5815	108			69.4	2024-03-13 01:08:37		Accepted	2024-03-13 10:26:06		Accepted	2024-04-12 09:44:40	2024-05-18 08:26:54	Accepted	2024-03-16 17:22:54		Accepted	
77	Combinations	https://leetcode.com/problems/combinations/	problems/combinations.json	false	Medium	8069	215			70.1	2024-03-13 01:08:50		Accepted	2024-03-13 10:26:10		Accepted	2024-04-12 09:44:48	2024-05-18 08:27:05	Accepted	2024-03-16 17:23:21		Accepted	
106	Construct Binary Tree from Inorder and Postorder Traversal	https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/	problems/construct-binary-tree-from-inorder-and-postorder-traversal.json	false	Medium	7840	127	img		62.4	2024-03-13 01:09:09		Accepted	2024-03-13 10:26:15		Accepted	2024-04-12 09:45:01	2024-05-18 08:27:12	Accepted	2024-03-16 17:23:50		Accepted	
105	Construct Binary Tree from Preorder and Inorder Traversal	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/	problems/construct-binary-tree-from-preorder-and-inorder-traversal.json	false	Medium	14581	475	img		63.6	2024-03-13 01:09:24		Accepted	2024-03-13 10:26:19		Accepted	2024-04-12 09:45:09	2024-05-18 08:27:20	Accepted	2024-03-16 17:24:20		Accepted	
427	Construct Quad Tree	https://leetcode.com/problems/construct-quad-tree/	problems/construct-quad-tree.json	false	Medium	1462	1799	a,img		75.3	2024-03-13 01:09:54		Accepted	2024-03-13 10:26:24		Accepted	2024-04-12 09:45:21	2024-05-18 08:27:27	Accepted	2024-03-16 17:25:01		Accepted	
11	Container With Most Water	https://leetcode.com/problems/container-with-most-water/	problems/container-with-most-water.json	false	Medium	28269	1654	img		54.9	2024-03-13 01:10:20		Accepted	2024-03-13 10:26:27		Accepted	2024-04-12 09:45:28	2024-05-18 08:27:34	Accepted	2024-03-16 17:25:28		Accepted	
