.Filename	.Question.Url	.Question.Data.Question.questionFrontendId	.Question.Data.Question.Difficulty	.Question.TotalAccepted	.Question.AcRate	.Submissions["claude-3-7-sonnet-20250219"].CheckResponse.status_msg	.Submissions["claude-3-7-sonnet-20250219@{\"max_tokens\":16384,\"thinking\":{\"budget_tokens\":8192,\"type\":\"enabled\"}}"].CheckResponse.status_msg	.Submissions["deepseek-chat"].CheckResponse.status_msg	.Submissions["deepseek-reasoner"].CheckResponse.status_msg	.Submissions["gemini-2.0-flash-001"].CheckResponse.status_msg	.Submissions["gemini-2.0-pro-exp-02-05"].CheckResponse.status_msg	.Submissions["gemini-2.5-pro-exp-03-25"].CheckResponse.status_msg	.Submissions["grok-2-1212"].CheckResponse.status_msg	.Submissions["o1-2024-12-17"].CheckResponse.status_msg	.Submissions["o3-mini-2025-01-31"].CheckResponse.status_msg
3sum.json	https://leetcode.com/problems/3sum/	15	Medium	3.36542e+06	34.3	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
add-binary.json	https://leetcode.com/problems/add-binary/	67	Easy	1.397321e+06	53.3	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
asteroid-collision.json	https://leetcode.com/problems/asteroid-collision/	735	Medium	468213	44.6	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
basic-calculator.json	https://leetcode.com/problems/basic-calculator/	224	Hard	447049	43.2	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
best-time-to-buy-and-sell-stock.json	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	121	Easy	4.378713e+06	53.5	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
best-time-to-buy-and-sell-stock-ii.json	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/	122	Medium	1.804858e+06	66.1	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
best-time-to-buy-and-sell-stock-iii.json	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/	123	Hard	579500	47.6	Accepted	<nil>	Accepted	<nil>	Wrong Answer	Accepted		Accepted	<nil>	Accepted	
best-time-to-buy-and-sell-stock-iv.json	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/	188	Hard	437043	42.3	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
best-time-to-buy-and-sell-stock-with-transaction-fee.json	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/	714	Medium	346290	68.4	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
bitwise-and-of-numbers-range.json	https://leetcode.com/problems/bitwise-and-of-numbers-range/	201	Medium	382235	46.8	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
can-place-flowers.json	https://leetcode.com/problems/can-place-flowers/	605	Easy	707068	29.3	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted		Accepted	<nil>	Accepted	
candy.json	https://leetcode.com/problems/candy/	135	Hard	486678	43.2	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted	<nil>	Accepted	<nil>	Accepted	
climbing-stairs.json	https://leetcode.com/problems/climbing-stairs/	70	Easy	3.095603e+06	52.8	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted	<nil>	Accepted	<nil>	Accepted	
coin-change.json	https://leetcode.com/problems/coin-change/	322	Medium	1.705975e+06	43.7	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted	<nil>	Accepted	<nil>	Accepted	
combination-sum.json	https://leetcode.com/problems/combination-sum/	39	Medium	1.838034e+06	71.1	Accepted	<nil>	Accepted	<nil>	Accepted	Accepted	<nil>	Accepted	<nil>	Accepted	
